transaction_id,transaction_type,customer_id,amount,currency
69976446405e38938848,deposit,USER-54,776.83,EUR
88292096405e38938849,deposit,USER-61,68887.12,EUR
17366406405e3896b189,deposit,USER-9,16277.78,EUR
37956696405e3896b702,deposit,USER-96,34450.77,EUR
57373386405e3893884c,deposit,USER-22,78471.42,EUR
25393026405e3896c21c,deposit,USER-23,26111.61,EUR
48816066405e3893884e,deposit,USER-49,32780.82,EUR
88239146405e3893884f,deposit,USER-43,57804.9,EUR
33856196405e38938850,deposit,USER-21,62233.52,EUR
72536496405e38938851,deposit,USER-62,36894.99,EUR
32826446405e38938852,deposit,USER-75,85489.63,EUR
19784626405e3896ef24,deposit,USER-96,45113.26,EUR
43293216405e38938854,deposit,USER-7,91396.99,EUR
99963356405e38938825,deposit,USER-13,19957.91,DKK
45515916405e38938831,deposit,USER-26,95768.62,EUR
5344426405e38938832,deposit,USER-19,5045.18,EUR
28215556405e38938833,deposit,USER-50,43705.37,EUR
3009806405e38938834,deposit,USER-81,59658.84,EUR
31897446405e389644ae,deposit,USER-47,47579.2,EUR
2758446405e38938892,deposit,USER-62,77208.28,EUR
27394246405e38987ea2,deposit,USER-53,86190.6,EUR
99435706405e38938895,deposit,USER-51,65053.48,EUR
26778406405e38988c6f,deposit,USER-5,44138.85,GBP
60328306405e389892e2,deposit,USER-98,31361.43,EUR
84633846405e38938898,deposit,USER-8,25878.43,EUR
21562896405e38938899,deposit,USER-17,79058.25,RON
6555586405e3893889a,deposit,USER-28,12672.52,EUR
67797226405e3893889b,deposit,USER-48,48164.5,EUR
63071776405e3898b4cf,deposit,USER-68,81306.88,EUR
63638386405e3898bb78,deposit,USER-76,2431.66,DKK
76900306405e3893889e,deposit,USER-78,98183,EUR
50276216405e3893889f,deposit,USER-51,94361.11,EUR
93340426405e38938836,deposit,USER-32,99033.78,DKK
93641436405e38938837,deposit,USER-18,48955.66,EUR
48947766405e389654d2,deposit,USER-16,8921.31,EUR
5843746405e38938839,deposit,USER-20,69841.16,EUR
72662466405e3893883a,deposit,USER-40,75170.46,DKK
825026405e3893883b,deposit,USER-26,55472.91,EUR
18651826405e3893883c,deposit,USER-46,94212.25,EUR
20094026405e3893883d,deposit,USER-39,14985.79,EUR
74005216405e3893883e,deposit,USER-82,12699.63,EUR
40624506405e3893883f,deposit,USER-25,18167.78,DKK
20369356405e38938840,deposit,USER-16,42881.23,EUR
91068756405e38938841,deposit,USER-38,40011.6,DKK
35038986405e38938842,deposit,USER-6,45069.19,EUR
64612306405e38938843,deposit,USER-37,27563.81,EUR
81291306405e38938844,deposit,USER-89,37296.98,EUR
13486296405e38969665,deposit,USER-58,59256.31,GBP
1928096405e38938846,deposit,USER-12,4207.54,EUR
70272526405e38938847,deposit,USER-8,88023.81,DKK
10499196405e38938855,deposit,USER-41,99794.16,EUR
75884326405e389700bf,deposit,USER-26,95580.49,EUR
55180796405e38938857,deposit,USER-94,36036.74,EUR
88642916405e38938858,deposit,USER-70,896.4,EUR
63824276405e38971139,deposit,USER-53,93054.84,EUR
61870406405e38971734,deposit,USER-76,52655.21,EUR
9136546405e3893885b,deposit,USER-54,79103.26,EUR
74387716405e3893885c,deposit,USER-79,48066.64,EUR
48650386405e3893885d,deposit,USER-71,45243.74,EUR
8165456405e3893885e,deposit,USER-50,57628.31,EUR
81660736405e3893885f,deposit,USER-73,33350.16,EUR
67115376405e38975f0b,deposit,USER-74,99944.89,EUR
60734576405e38938862,deposit,USER-97,93788.98,EUR
30362506405e38977b6c,deposit,USER-29,31902.74,EUR
6014216405e38938864,deposit,USER-27,34458.82,EUR
39376106405e3897894e,deposit,USER-34,93431.1,EUR
34634716405e38938866,deposit,USER-7,88872.11,EUR
15491536405e38938867,deposit,USER-31,59235.61,EUR
50913966405e3897a368,deposit,USER-63,99111.68,EUR
95146136405e38938869,deposit,USER-42,19010.57,EUR
16924566405e3897b3bf,deposit,USER-40,11497.19,EUR
86861976405e3897ba5d,deposit,USER-64,97389.64,EUR
31967056405e3893886c,deposit,USER-51,19413.35,DKK
80016586405e38938873,deposit,USER-5,55728.58,EUR
36643196405e38938875,deposit,USER-42,30354.83,EUR
21050406405e38938876,deposit,USER-13,5259.24,EUR
85511956405e38938877,deposit,USER-35,47677.54,EUR
99357226405e3897dee2,deposit,USER-35,60170.38,RON
62705196405e3897e4e1,deposit,USER-69,96670.42,EUR
46793096405e3893887b,deposit,USER-28,47513.41,RON
8929106405e3893887c,deposit,USER-62,26782.36,EUR
98862636405e3893887d,deposit,USER-23,59773.4,EUR
3576556405e3897fd76,deposit,USER-66,68363.38,EUR
5463446405e3893887f,deposit,USER-60,52709.86,GBP
96680376405e38980adc,deposit,USER-73,88014.95,GBP
27609976405e38938881,deposit,USER-14,63986.99,EUR
65683296405e38981710,deposit,USER-55,45622.97,EUR
35037186405e38938883,deposit,USER-43,94887.19,EUR
60304576405e38938884,deposit,USER-22,40289.6,EUR
17152136405e38938885,deposit,USER-72,7355.98,EUR
2854616405e389830db,deposit,USER-33,99012.17,EUR
11512426405e38938887,deposit,USER-33,51289.3,EUR
56316516405e38938888,deposit,USER-17,90719.87,EUR
23274646405e38984376,deposit,USER-39,47297.78,GBP
